"Numero do Processo de Compra";"Procedimento de Contratacao";Objeto;"Situacao do Processo";"Ogao Demandante";"Valor de Referencia";"Valor Homologado";Economias
"1021007 000317/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Serviços de gestão de vulnerabilidades e instalação da solução de gestão de vulnerabilidade.";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";279.360,00;279.360,00;0,00
"1031018 000891/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de Materiais de Escritório, através da ARP 314/2018 – Lote 05.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";1.490,00;1.490,00;0,00
"0507011 000308/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"PRODUTOS ALIMENTICIOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";614,40;614,40;0,00
"1081017 000043/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Visando economizar o uso de papel pata realizar impressões, tendo em vista a grande quantidade de papel A4 que atualmente é utilizada por este órgão público.";Concluído;"ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS";13.290,00;13.290,00;0,00
"2320310 000251/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Bateria de lithium";Concluído;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MG";53,40;53,40;0,00
"1321015 000063/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Para reposição do estoque da SRS-BH";Concluído;"SECRETARIA DE ESTADO DA SAUDE";3.905,64;3.905,64;0,00
"2012008 001637/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MASCARA DESCARTAVEL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";312,00;312,00;0,00
"1321025 000038/2019";"DISPENSA DE LICITACAO - POR VALOR";"SERVICOS DE LAVAGEM, PULVERIZACAO, LUBRIFICACAO E POLIMENTO DE VEICULOS MEDIOS.
Observação:	SERÁ 20 VEÍCULOS MÉDIO E 02 GRANDE (SPRINTER E S10).";Concluído;"SECRETARIA DE ESTADO DA SAUDE";2.500,00;2.480,00;20,00
"2012008 001752/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";CLOZAPINA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";3.307,50;3.307,50;0,00
"2171005 000046/2019";"DISPENSA DE LICITACAO - POR VALOR";"Token e-CNPJ";Concluído;"FUNDACAO DE ARTE DE OURO PRETO-FAOP";355,00;259,00;96,00
"2012008 001716/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"FORMULA OU ASSOCIACAO MANIPULADA";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";100,00;100,00;0,00
"2311076 000663/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Planejamento:153/2019

Registro de Preços: 197/2019

Objeto:COMPRA ESTADUAL DE MEDICAMENTOS";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";712,80;712,80;0,00
"1261347 000060/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de grampos para composição de pastas 
 de processos de pagamento no Setor de Apoio Financeiro da SAP.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";385,20;385,20;0,00
"2012008 001730/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";DOXAZOSINA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";64,80;64,80;0,00
"2012008 001706/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DIPIRONA + ASSOCIACOES";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.503,25;1.503,25;0,00
"1321025 000042/2019";"DISPENSA DE LICITACAO - POR VALOR";"LANCHE PEDAGOGICO PARA ATENDER A DEMANDA DA SRS DE UBERLANDIA.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.469,50;1.172,50;297,00
"1191023 000010/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de Gás Liquefeito de Petróleo – GLP de uso doméstico (até 8 botijões de 13 kg),para consumo na AF/DF/SRF- Ipatinga e AF/Cel. Fabriciano.";Concluído;"SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS";632,00;0,00;632,00
"0512010 000302/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.975,80;1.975,80;0,00
"1250071 000105/2019";"DISPENSA DE LICITACAO - POR VALOR";"Baterias para Nobreak para CTS";Concluído;"POLICIA MILITAR DE MINAS GERAIS";7.896,35;6.128,60;1.767,75
"0518005 000157/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de fragmentadora de papel para o HRAD/FHEMIG";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";10.093,50;8.950,00;1.143,50
"0509025 000441/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";41,25;41,25;0,00
"0501044 000667/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL RADIOLÓGICO - FILME PARA RAIO X";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";76.993,60;76.993,60;0,00
"0518005 000160/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE MATERIAIS PARA A FARMÁCIA DO HRAD/FHEMIG.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";990,74;990,74;0,00
"0509025 000440/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"GENEROS ALIMENTICIOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";25.568,62;25.568,62;0,00
"0510037 000533/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";6.657,04;6.657,04;0,00
"1021007 000044/2019";PREGAO;"Prestação de serviços contínuos de limpeza, conservação e higienização predial, jardinagem e limpeza de veículos, com alocação exclusiva de mão de obra, inclusive materiais, produtos e equipamentos.";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";3.416.247,96;2.937.240,84;479.007,12
"0510037 000537/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";Etomidato;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.798,00;1.798,00;0,00
"0509025 000461/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";EXAMES;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";250,00;250,00;0,00
"1021007 000272/2019";INEXIGIBILIDADE;"Contratação da professora Graciane Silva Bruzinga Borges, para ministrar o Curso de Atualização em Normalização Documentária de Trabalhos Técnico- Científicos.";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";1.113,77;1.113,77;0,00
"0510037 000539/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";13.075,00;13.075,00;0,00
"1321036 000051/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Papel toalha-150 embalagens
Papel higiênico 300 metros-100 rolos";Concluído;"SECRETARIA DE ESTADO DA SAUDE";2.320,00;2.320,00;0,00
"2251003 000021/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de Material de Consumo - Café - Conforme ARP Planejamento 162/2019 II";Concluído;"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";4.830,00;4.830,00;0,00
"1401335 000007/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de materiais para a Cia de Araxá via Registro de Preços.";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";2.680,80;2.680,80;0,00
"1031018 000516/2019";PREGAO;"Prestação de serviços de lavação de estofados em cadeiras, poltronas, sofás e longarinas pertencentes ao Tribunal de Justiça de Minas Gerais, lotados em Belo Horizonte.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";0,00;0,00;0,00
"0509025 000358/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"material médico";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";135,00;135,00;0,00
"1371001 000013/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Prestação de serviços de de reserva, emissão, remarcação ou alteração e entrega de passagens rodoviárias nacionais";Concluído;"SECRETARIA ESTADO DE MEIO AMB.DESENV SUSTENTAVEL";59.049,00;59.049,00;0,00
"2012008 001265/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COLAR CERVICAL DE EMERGENCIA";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";659,40;659,40;0,00
"2320310 000141/2019";PREGAO;"SEI 2320.01.0004043/2019-73
REAGENTES PARA O APARELHO SYSMEX XN 1000";Concluído;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MG";73.252,92;0,00;73.252,92
"0506007 000094/2019";"DISPENSA DE LICITACAO - POR VALOR";"Itens necessários para atendimento de urgência aos pacientes.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.405,59;1.296,00;109,59
"1259759 000032/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Materiais de Reforma e Pintura";Concluído;"POLICIA MILITAR DE MINAS GERAIS";2.582,59;2.875,59;-293,00
"5030001 000070/2019";PREGAO;"Manutenção de extintores e mangueiras de incêndio";Concluído;"COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS";7.296,00;7.250,00;46,00
"1401068 000003/2019";"DISPENSA DE LICITACAO - POR VALOR";"
CRIAÇÃO DE ARTES GRÁFICAS (VETORES) DAS VIATURAS";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";14.940,00;8.999,69;5.940,31
"3051010 000011/2019";"DISPENSA DE LICITACAO - POR VALOR";"Manutenção corretiva em 2 (dois) Determinadores de Gordura";Concluído;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";2.930,00;2.929,00;1,00
"1251855 000018/2019";PREGAO;"Coleta, transporte e destinação final de resíduos de serviço de saúde (médico hospitalares), gerados no NAIS do EM/6ª RPM (Lavras/MG) e no NAIS do 24º BPM (Varginha/MG).";Concluído;"POLICIA MILITAR DE MINAS GERAIS";8.640,00;8.120,64;519,36
"1031018 000784/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE LICENÇAS DE SOFTWARE";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";2.214,00;1.973,40;240,60
"1031018 000778/2019";"DISPENSA DE LICITACAO - POR VALOR";"Assinatura pelo período de 1 ano para o acervo da Biblioteca do TJMG de diversos periódicos.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";11.200,00;11.200,00;0,00
"1031018 000786/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de cadeiras para atendimento às demandas da COPAT.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";9.295,00;9.295,00;0,00
"0520009 000344/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Compra Central - Medicamentos III";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";348,90;348,90;0,00
"1091002 000218/2019";"DISPENSA DE LICITACAO";"Contrato de locação de imóvel.";Concluído;"PROCURADORIA GERAL DE JUSTICA";11.444,04;11.444,04;0,00
"1257654 000040/2019";PREGAO;"Materiais de construção para reparos e reforma no Quartel da PMMG em Rio Pardo de Minas/MG";Concluído;"POLICIA MILITAR DE MINAS GERAIS";56.468,15;56.000,00;468,15
"1321129 000194/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"PALIPERIDONAS - ATA 171/2019 -                                                                        PROCESSO SEI Nº 1320.01.0105448/2019-52";Concluído;"SECRETARIA DE ESTADO DA SAUDE";701.405,56;701.405,56;0,00
"0502019 000114/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material Médico referente RP: 6/2019.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.536,00;4.536,00;0,00
"2261032 000369/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COMPRA ESTADUAL DE MEDICAMENTOS - RP 197/2019";Concluído;"FUNDACAO EZEQUIEL DIAS";31,94;31,94;0,00
"1510038 000022/2019";"DISPENSA DE LICITACAO - POR VALOR";"Refratômetro de bancada.";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";4.387,50;0,00;4.387,50
"0501044 000784/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";33.820,00;33.820,00;0,00
"1501122 000098/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Materiais de higiene e limpeza a serem adquiridos para atender demanda da SCPMSO.";Concluído;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";2.059,64;2.059,64;0,00
"1320044 000047/2019";"RECADASTRAMENTO DE PROCESSOS";"RECADASTRAMENTO DO PROCESSO 0516013 506/2019 -
AQUISIÇÃO DE VENTILADOR PULMONAR MECÂNICO DE TRANSPORTE NEONATAL  - TDCO 13/2018, PARA INCLUSÃO DA CORRETA DOTAÇÃO ORÇAMENTÁRIA.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";58.000,00;58.000,00;0,00
"0509025 000498/2019";"DISPENSA DE LICITACAO - POR VALOR";"CONTENEDORES DE LIXO E LIXEIRAS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";9.630,00;9.050,00;580,00
"2261032 000314/2019";PREGAO;Reagentes;Concluído;"FUNDACAO EZEQUIEL DIAS";14.062,49;3.862,50;10.199,99
"1401269 000108/2019";PREGAO;"aquisição de equipamentos para segunda seção do EMBM, através do convênio celebrado entre o CBMMG e a INFRAERO.";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";31.451,29;0,00;31.451,29
"1031018 000965/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de veículos de representação";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";749.400,00;749.400,00;0,00
"1401460 000077/2019";"DISPENSA DE LICITACAO";"SERVIÇOS DE INSTITUIÇÃO DE ENSINO SUPERIOR, DEVIDAMENTE CREDENCIADA PELO MINISTÉRIO DE EDUCAÇÃO E CULTURA (MEC), PARA REALIZAÇÃO DO CURSOS DE ESPECIALIZAÇÃO LATO SENSU CEGDEC";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";219.566,00;219.566,00;0,00
"1321127 000036/2019";"DISPENSA DE LICITACAO";"PRODEMGE para prestação de serviços de  Hospedagem e processamento dos Sistema ALERT 
SEI 1320010050763/2019-13 
";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.760.905,20;1.760.905,20;0,00
"0501044 000881/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.180,00;4.180,00;0,00
"1401269 000167/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de pilha AA Duracell Quantum e pilha AAA Duracell Procell para atender o previsto no Manual do Fabricante de EAPR da Scott.";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";3.990,44;0,00;3.990,44
"2331032 000075/2019";"DISPENSA DE LICITACAO - POR VALOR";"Suporte para prateleira, cuba para pia, massa plástica e vaso sanitário.";Concluído;"INSTITUTO DE METROLOGIA E QUALIDADE DE MG";551,35;0,00;551,35
"2261032 000403/2019";PREGAO;"Serviço de Gestão Administrativa de Estágio.";Concluído;"FUNDACAO EZEQUIEL DIAS";78.480,00;8.488,92;69.991,08
"2281314 000045/2019";"DISPENSA DE LICITACAO - POR VALOR";"MATERIAIS ELÉTRICOS E HIDRÁULICOS";Concluído;"FUNDACAO DE EDUCACAO PARA TRABALHO DE MINAS GERAIS";544,57;508,75;35,82
"1510082 000003/2019";"DISPENSA DE LICITACAO - POR VALOR";"Estabilizadores para atendimento a Emenda Parlamentar Marília Campos.";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";7.950,00;4.169,40;3.780,60
"1451044 000297/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"
COMPRA ESTADUAL DE MEDICAMENTOS";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";3.289,00;3.289,00;0,00
"2121005 000026/2019";PREGAO;"Contratação de pessoa jurídica para prestação de serviços, no apoio as atividades de assistenciais de saúde, serviços especializados em gestão de processos de  saúde, e processos administrativos";Concluído;"INST.PREV.DOS SERV.MILITARES DO ESTADO M.GERAIS";0,00;0,00;0,00
"1259967 000030/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa especializada em manutenção de porta de vidro estilo blindex para o NAIS
EM 5ªRPM.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";0,00;0,00;0,00
"1259967 000063/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de uma mesa de escritório com gavetas para atender demanda do CTPM-Uberaba.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.161,28;0,00;1.161,28
"1031018 000962/2019";CONCORRENCIA;"Obra de continuação da construção do novo prédio do Fórum da Comarca de Guaranésia";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";3.383.955,82;2.860.125,84;523.829,98
"1321022 000042/2019";"DISPENSA DE LICITACAO - POR VALOR";"copos descartaveis de 200ml";Concluído;"SECRETARIA DE ESTADO DA SAUDE";777,50;775,00;2,50
"1321025 000040/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"PAPEL A4 PARA ATENDER A DEMANDA DA SRS DE UBERLÂNDIA.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";4.194,00;4.194,00;0,00
"2012008 001628/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COMPLEMENTO E SUPLEMENTO NUTRICIONAL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";14.480,00;14.480,00;0,00
"1250084 000144/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de colete balístico nível IIIA para atender demandas da PMMG, com destinação ao 48º BPM/2ª RPM, através de recursos de convênio com a Pref. Ibirité-MG, conforme mem. 263.7/19-DAL.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";12.400,00;12.400,00;0,00
"0505022 000050/2019";"DISPENSA DE LICITACAO - POR VALOR";"SERVIÇOS ESPECIALIZADOS DE DESINFECÇÃO, DESRATIZAÇÃO E DEDETIZAÇÃO, 3 APLICAÇÕES SENDO 1 APLICAÇÃO POR MÊS .";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.749,00;1.155,00;594,00
"1541003 000088/2019";"DISPENSA DE LICITACAO - POR VALOR";"HOSPEDAGEM SISTEMAS EM AMBIENTE COMPARTILHADO";Concluído;"ESCOLA DE SAUDE PUBLICA DE MINAS GERAIS";10.350,00;2.300,00;8.050,00
"2311076 000607/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR
RP         229/2019
PLAN    160/2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";4.500,00;4.500,00;0,00
"1011014 000205/2019";"DISPENSA DE LICITACAO - POR VALOR";"Coletes para monitores.";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";1.060,00;1.000,00;60,00
"2012008 001755/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";OXALIPLATINA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";13.750,00;13.750,00;0,00
"2461022 000020/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa especializada na prestação de serviços de manutenção, preventiva e corretiva, e reparo em veículo Ford Focus 2.0/2008, de propriedade da Agência, com substituição de peças.";Concluído;"AGENCIA DE DESENVOLVIMENTO DA RMVA";7.740,00;7.700,00;40,00
"1191001 000053/2019";INEXIGIBILIDADE;"Contratacao para prestacao de serviços de manutencao, atualizacao e suporte da ferramenta Risk Manager, incluindo a aquisicao sob demanda, de ate 480 horas de operacao assistida";Concluído;"SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS";345.310,68;345.310,68;0,00
"1501122 000102/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de Notebooks e de licença de uso de software, destinados a atender as Superintendência Central de Canais de atendimento.";Concluído;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";17.571,00;17.571,00;0,00
"2311076 000665/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Planejamento: 414/2018

Registro de Preços: 328/2018

Objeto: MATERIAL DE LABORATÓRIO – BIOQUIMICOS E OUTROS";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";380,00;380,00;0,00
"0520009 000383/2019";"DISPENSA DE LICITACAO - POR VALOR";"Bateria para equipamento medico/hospitalar";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.478,00;1.475,60;2,40
"2311076 000666/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Planejamento:116/2019

Registro de Preços:167/2019

Objeto:MATERIAL MÉDICO HOSPITALAR - INSUMOS PARA HEMODIÁLISE";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";1.796,00;1.796,00;0,00
"2311076 000672/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR
RP          229/2019
PLAN     160/2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";3.000,00;3.000,00;0,00
"2012008 001779/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";NICOTINA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.415,18;1.415,17;0,01
"1254266 000049/2019";PREGAO;"Contratação de serviço de manutenção nível D para as aeronaves AS 350 e AS 365 operadas pelo COMAVE.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";600.000,00;585.100,00;14.900,00
"0521009 000343/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO HOSPITALAR";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";19.183,50;19.183,50;0,00
"0520009 000385/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";10.009,00;10.009,00;0,00
"0522008 000101/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CARNE (PATINHO) - NOVEMBRO/2019";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.422,24;4.422,24;0,00
"1021007 000249/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de 1 (uma) licença do software Prezi-Pró.";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";1.520,00;1.200,00;320,00
"2012008 001467/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"TROCARTE, DESCARTAVEL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";10.710,00;10.710,00;0,00
"0512010 000305/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS CARDIOVASCULARES";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";100,00;100,00;0,00
"1259966 000076/2019";"DISPENSA DE LICITACAO - POR VALOR";"MESA PARA REUNIAO FORMATO OVAL PARA ATENDER DEMANDA DA 7ª CIA PM IND. (31) 3522-4667 / 2191-6138";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.201,00;1.200,50;0,50
"1251655 000048/2019";"DISPENSA DE LICITACAO - POR VALOR";"Atender demanda do CPRv/BPMRv";Concluído;"POLICIA MILITAR DE MINAS GERAIS";16.296,32;14.694,75;1.601,57
"2012008 001462/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CURATIVO DE POLIURETANO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";4.133,83;4.133,83;0,00
"3051002 000102/2019";PREGAO;"DUAS CARRETAS TANQUE CHORUMEIRA";Concluído;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";48.200,00;41.589,99;6.610,01
"2012008 001463/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"SULFATO DE ZINCO - PRINCIPIO ATIVO: SULFATO DE ZINCO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";484.835,20;484.835,20;0,00
"2261032 000317/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"INSUMOS ODONTOLÓGICOS - RP 335/2018";Concluído;"FUNDACAO EZEQUIEL DIAS";1.848,64;1.848,64;0,00
